Time,Direction,Speed,Steering,IR-v1,IR-v2,IR-v3,IR-v4,IR-v5
20.82,1,30,90,7,9,9,8,5
21.04,1,30,135,7,9,9,8,5
21.17,1,30,135,7,8,9,9,5
21.28,1,30,135,7,8,9,8,5
21.38,1,30,135,8,9,9,8,5
21.49,1,30,135,6,9,9,9,5
21.6,1,30,135,6,8,9,8,5
21.7,1,30,135,7,9,9,8,5
21.81,1,30,135,7,8,9,8,5
21.92,1,30,135,7,9,8,8,5
22.02,1,30,135,7,9,9,8,5
22.23,1,30,90,7,8,9,9,5
22.44,1,30,135,7,8,9,8,5
22.55,1,30,135,7,8,9,8,5
22.65,1,30,135,7,8,9,8,5
22.86,1,30,90,6,9,9,8,5
23.08,1,30,135,7,8,9,8,5
23.19,1,30,135,7,9,9,8,5
23.3,1,30,135,7,9,9,8,5
23.41,1,30,135,7,9,9,8,5
23.52,1,30,135,7,8,9,8,5
23.62,1,30,135,7,9,9,8,5
23.73,1,30,135,7,9,9,8,5
23.84,1,30,135,7,9,9,8,5
23.95,1,30,135,7,9,9,8,5
24.05,1,30,135,7,8,9,8,5
24.16,1,30,135,7,8,9,8,5
24.37,1,30,90,7,8,9,8,5
24.47,1,30,90,7,8,9,9,5
24.58,1,30,90,7,8,9,9,5
24.59,0,0,90,6,8,9,8,4
